Ensembl gene ID,Description_Clarke.et.al._2
ENSOARG00000000195,radial spoke head 14 homolog
ENSOARG00000000196,nicotinate phosphoribosyltransferase
ENSOARG00000000199,intestinal mucin-like protein
ENSOARG00000000202,TPA: TRD@ protein-like
ENSOARG00000000203,LOW QUALITY PROTEIN: zinc finger protein 845-like
ENSOARG00000000204,OR51G1
ENSOARG00000000207,
ENSOARG00000000210,disintegrin and metalloproteinase domain-containing protein 5-like
ENSOARG00000000211,small nuclear ribonucleoprotein G isoform a
ENSOARG00000000214,T-cell receptor alpha chain V region HPB-MLT-like
ENSOARG00000000215,uncharacterized protein C1orf43 homolog
ENSOARG00000000217,beta-defensin 125a
ENSOARG00000000218,Protocadherin Fat 4
ENSOARG00000000219,
ENSOARG00000000221,zinc finger protein 665-like
ENSOARG00000000222,multidrug resistance-associated protein 4-like
ENSOARG00000000225,zymogen granule protein 16 homolog B-like
ENSOARG00000000227,DDB1 and CUL4 associated factor 4
ENSOARG00000000228,zinc finger protein 677-like
ENSOARG00000000229,
ENSOARG00000000231,LOW QUALITY PROTEIN: olfactory receptor 5D18-like
ENSOARG00000000232,olfactory receptor 6B2-like
ENSOARG00000000235,uncharacterized protein LOC105610452
ENSOARG00000000236,"short palate, lung and nasal epithelium carcinoma-associated protein 2A-like"
ENSOARG00000000238,"TPA: olfactory receptor, family 51, subfamily E, member 2-like"
ENSOARG00000000239,translocase of inner mitochondrial membrane 17 homolog A (yeast)
ENSOARG00000000240,V-set and transmembrane domain containing 2B
ENSOARG00000000241,ribosomal protein L9
ENSOARG00000000244,LOW QUALITY PROTEIN: myotubularin-related protein 9
ENSOARG00000000245,
ENSOARG00000000246,LOW QUALITY PROTEIN: serine/threonine-protein kinase LMTK1
ENSOARG00000000247,NKG2D ligand 3-like
ENSOARG00000000250,uncharacterized protein C4orf3 homolog
ENSOARG00000000254,nuclear envelope pore membrane protein POM 121-like
ENSOARG00000000255,ATR interacting protein
ENSOARG00000000256,
ENSOARG00000000260,
ENSOARG00000000264,TPA: sodium- and chloride-dependent glycine transporter 1
ENSOARG00000000267,ankyrin repeat and BTB/POZ domain-containing protein 1
ENSOARG00000000268,protein FRG2-like-2-like
ENSOARG00000000272,
ENSOARG00000000273,membrane primary amine oxidase
ENSOARG00000000275,YWHAE
ENSOARG00000000278,LOW QUALITY PROTEIN: zinc finger protein 565-like
ENSOARG00000000279,nuclear RNA export factor 3-like
ENSOARG00000000280,zinc finger protein 665
ENSOARG00000000282,LOW QUALITY PROTEIN: zinc finger protein 726
ENSOARG00000000283,LOW QUALITY PROTEIN: uncharacterized protein LOC106990478
ENSOARG00000000289,LOW QUALITY PROTEIN: histone-lysine N-methyltransferase PRDM9-like
ENSOARG00000000290,
ENSOARG00000000292,zinc finger protein 345-like
ENSOARG00000000293,neurogenin 2
ENSOARG00000000297,late cornified envelope protein 1F-like
ENSOARG00000000299,LOW QUALITY PROTEIN: putative zinc finger protein 724
ENSOARG00000000300,thrombospondin-2
ENSOARG00000000301,
ENSOARG00000000303,"neural proliferation, differentiation and control 1"
ENSOARG00000000308,thrombospondin-2-like
ENSOARG00000000311,"neural proliferation, differentiation and control 1"
ENSOARG00000000312,zinc finger protein 474
ENSOARG00000000313,
ENSOARG00000000314,late cornified envelope protein 1D-like
ENSOARG00000000315,POLR3F
ENSOARG00000000318,
ENSOARG00000000323,olfactory receptor family 7 subfamily A member 17
ENSOARG00000000325,hypothetical protein
ENSOARG00000000326,Fanconi anemia core complex-associated protein 20
ENSOARG00000000330,involucrin
ENSOARG00000000331,
ENSOARG00000000332,60S ribosomal protein L23
ENSOARG00000000334,testisin-like
ENSOARG00000000335,beta-defensin 118-like
ENSOARG00000000339,LOW QUALITY PROTEIN: corepressor interacting with RBPJ 1
ENSOARG00000000348,60S acidic ribosomal protein P1-like
ENSOARG00000000350,LOW QUALITY PROTEIN: pregnancy-associated glycoprotein 2-like
ENSOARG00000000351,
ENSOARG00000000353,
ENSOARG00000000359,solute carrier family 7 member 3
ENSOARG00000000361,DGCR13
ENSOARG00000000368,LOW QUALITY PROTEIN: late cornified envelope-like proline-rich protein 1
ENSOARG00000000370,LOW QUALITY PROTEIN: cationic amino acid transporter 3-like
ENSOARG00000000371,brain expressed X-linked 2
ENSOARG00000000376,"glutamate receptor ionotropic, delta-2-like"
ENSOARG00000000377,
ENSOARG00000000379,protein FAM170A
ENSOARG00000000380,
ENSOARG00000000385,Voltage-dependent N-type calcium channel subunit alpha-1B
ENSOARG00000000388,PIGY upstream reading frame
ENSOARG00000000390,UV radiation resistance associated
ENSOARG00000000391,CREB-regulated transcription coactivator 2
ENSOARG00000000393,LOW QUALITY PROTEIN: collagen alpha-1(XX) chain
ENSOARG00000000396,LOW QUALITY PROTEIN: olfactory receptor 51H1-like
ENSOARG00000000404,
ENSOARG00000000407,
ENSOARG00000000408,ribosomal protein L4
ENSOARG00000000410,"EI24, autophagy associated transmembrane protein"
ENSOARG00000000416,kinase suppressor of Ras 1
ENSOARG00000000419,ninein-like protein
ENSOARG00000000423,butyrophilin subfamily 2 member A2
ENSOARG00000000424,
ENSOARG00000000427,LOW QUALITY PROTEIN: transcription factor Sp9
ENSOARG00000000431,adenylate cyclase type 5-like
ENSOARG00000000434,vesicle-associated membrane protein 714-like
ENSOARG00000000435,hypothetical protein M91_15193
ENSOARG00000000436,ring finger protein 168
ENSOARG00000000440,TPA: hypothetical protein BOS_4664
ENSOARG00000000441,BCL2 interacting protein 3 like
ENSOARG00000000442,
ENSOARG00000000443,solute carrier family 7 member 3
ENSOARG00000000444,"RNA-binding motif protein, X-linked 2"
ENSOARG00000000445,transcription elongation factor A protein-like 4
ENSOARG00000000446,
ENSOARG00000000447,phosphatidylinositol glycan anchor biosynthesis class Y
ENSOARG00000000448,TPA: hypothetical protein BOS_4671
ENSOARG00000000451,Obg like ATPase 1
ENSOARG00000000453,LOW QUALITY PROTEIN: transcription elongation factor A protein-like 3
ENSOARG00000000457,serpin B6-like
ENSOARG00000000459,
ENSOARG00000000463,protein S100-A15A
ENSOARG00000000466,
ENSOARG00000000467,leukocyte immunoglobulin-like receptor subfamily B member 4-like
ENSOARG00000000468,nuclear transcription factor Y subunit beta
ENSOARG00000000471,T-cell receptor alpha chain V region CTL-F3
ENSOARG00000000477,protein S100-A7-like
ENSOARG00000000478,
ENSOARG00000000480,molybdenum cofactor synthesis 1
ENSOARG00000000481,HIV Tat-specific factor 1-like
ENSOARG00000000482,"BOLA class I histocompatibility antigen, alpha chain BL3-7-like"
ENSOARG00000000487,LOW QUALITY PROTEIN: uncharacterized protein LOC105613868
ENSOARG00000000489,
ENSOARG00000000494,MAGE family member A10
ENSOARG00000000497,LOW QUALITY PROTEIN: antigen WC1.1-like
ENSOARG00000000502,collectin-46-like
ENSOARG00000000505,calcium voltage-gated channel subunit alpha1 B
ENSOARG00000000507,"LOW QUALITY PROTEIN: primary amine oxidase, liver isozyme-like"
ENSOARG00000000512,
ENSOARG00000000513,putative killer cell immunoglobulin-like receptor like protein KIR3DP1
ENSOARG00000000516,lymphocyte-specific protein 1
ENSOARG00000000518,calcium voltage-gated channel subunit alpha1 B
ENSOARG00000000525,
ENSOARG00000000526,defensin beta 119
ENSOARG00000000527,LOW QUALITY PROTEIN: apolipoprotein L3-like
ENSOARG00000000528,
ENSOARG00000000529,tyrosine-protein kinase receptor Tie-1
ENSOARG00000000531,rho guanine nucleotide exchange factor 18
ENSOARG00000000533,LOW QUALITY PROTEIN: cationic amino acid transporter 3-like
ENSOARG00000000534,"keratin, type II cytoskeletal 5-like"
ENSOARG00000000540,
ENSOARG00000000541,transmembrane protein 110
ENSOARG00000000543,"lysozyme C, milk isozyme-like"
ENSOARG00000000546,solute carrier family 7 member 3
ENSOARG00000000547,LOW QUALITY PROTEIN: uncharacterized protein LOC105611944
ENSOARG00000000551,zinc finger protein 836-like
ENSOARG00000000554,
ENSOARG00000000555,adenylate cyclase type 5-like
ENSOARG00000000559,beta-defensin 122a precursor
ENSOARG00000000560,zinc finger protein 160-like
ENSOARG00000000561,
ENSOARG00000000562,acyl-coenzyme A thioesterase 1-like
ENSOARG00000000563,glypican-6 precursor
ENSOARG00000000564,multidrug resistance protein 1-like
ENSOARG00000000567,beta-defensin 122 precursor
ENSOARG00000000568,zinc finger and SCAN domain-containing protein 5B-like
ENSOARG00000000570,MDM2 proto-oncogene
ENSOARG00000000573,
ENSOARG00000000574,LOW QUALITY PROTEIN: zinc finger and SCAN domain-containing protein 5B-like
ENSOARG00000000575,nanos homolog 1
ENSOARG00000000577,magnesium transporter protein 1-like
ENSOARG00000000579,
ENSOARG00000000583,period circadian protein homolog 2
ENSOARG00000000584,histone H2B type 1
ENSOARG00000000589,
ENSOARG00000000590,HNRNPK
ENSOARG00000000591,cytochrome P450 2C9-like
ENSOARG00000000593,protein S100-A7
ENSOARG00000000595,RPS12
ENSOARG00000000596,coiled-coil domain containing 25
ENSOARG00000000597,
ENSOARG00000000598,LOW QUALITY PROTEIN: uncharacterized protein LOC106990773
ENSOARG00000000599,prosaposin receptor GPR37L1
ENSOARG00000000604,eva-1 homolog B
ENSOARG00000000606,"musculoskeletal, embryonic nuclear protein 1"
ENSOARG00000000607,FLYWCH-type zinc finger-containing protein 1
ENSOARG00000000608,LOW QUALITY PROTEIN: antigen WC1.1
ENSOARG00000000613,KCTD8
ENSOARG00000000614,acyl-coenzyme A thioesterase 6
ENSOARG00000000617,NKG2D ligand 3-like
ENSOARG00000000625,leukocyte immunoglobulin-like receptor subfamily A member 5
ENSOARG00000000628,solute carrier family 7 member 3
ENSOARG00000000629,
ENSOARG00000000630,IQ motif and SEC7 domain-containing protein 1
ENSOARG00000000639,
ENSOARG00000000640,protein fem-1 homolog A
ENSOARG00000000643,olfactory receptor 4K3-like
ENSOARG00000000646,
ENSOARG00000000647,kinesin family member 11
ENSOARG00000000649,disintegrin and metalloproteinase domain-containing protein 18-like
ENSOARG00000000650,SCO-spondin
ENSOARG00000000652,olfactory receptor 4F6-like
ENSOARG00000000655,UGT2C1
ENSOARG00000000656,X-linked interleukin-1 receptor accessory protein-like 2-like
ENSOARG00000000660,transcription factor BTF3
ENSOARG00000000661,olfactory receptor 4F6-like
ENSOARG00000000670,argininosuccinate lyase
ENSOARG00000000671,histone H2B type 1
ENSOARG00000000672,olfactory receptor family 4 subfamily F member 4
ENSOARG00000000673,testis-expressed sequence 13A protein-like
ENSOARG00000000677,
ENSOARG00000000682,olfactory receptor 4F3/4F16/4F29
ENSOARG00000000686,zinc finger protein 347-like
ENSOARG00000000688,
ENSOARG00000000689,
ENSOARG00000000693,olfactory receptor 4F3/4F16/4F29-like
ENSOARG00000000698,
ENSOARG00000000700,
ENSOARG00000000702,olfactory receptor 4F6-like
ENSOARG00000000703,leukocyte receptor cluster member 8
ENSOARG00000000704,solute carrier family 7 member 3
ENSOARG00000000705,LOW QUALITY PROTEIN: coiled-coil domain-containing protein 24
ENSOARG00000000706,"39S ribosomal protein L23, mitochondrial"
ENSOARG00000000707,
ENSOARG00000000709,cytochrome P450 2C21-like
ENSOARG00000000710,Histone H3.2
ENSOARG00000000711,LOW QUALITY PROTEIN: olfactory receptor 51I2-like
ENSOARG00000000713,olfactory receptor 4F3/4F16/4F29-like
ENSOARG00000000715,
ENSOARG00000000716,ankyrin repeat domain-containing protein 26-like
ENSOARG00000000717,NADH:ubiquinone oxidoreductase subunit A5
ENSOARG00000000719,
ENSOARG00000000720,
ENSOARG00000000721,LOW QUALITY PROTEIN: cationic amino acid transporter 3-like
ENSOARG00000000723,olfactory receptor 4F15-like
ENSOARG00000000724,ninein-like protein
ENSOARG00000000725,mitogen-activated protein kinase kinase kinase MLT
ENSOARG00000000726,prostaglandin reductase 2
ENSOARG00000000727,
ENSOARG00000000730,retina-specific copper amine oxidase-like
ENSOARG00000000731,LOW QUALITY PROTEIN: cationic amino acid transporter 3-like
ENSOARG00000000733,
ENSOARG00000000734,apolipoprotein L3-like
ENSOARG00000000738,alcohol dehydrogenase class-2 isozyme 2-like
ENSOARG00000000739,LOW QUALITY PROTEIN: sodium- and chloride-dependent glycine transporter 1
ENSOARG00000000743,complement C3-like
ENSOARG00000000746,family with sequence similarity 25 member A
ENSOARG00000000748,heme-binding protein 2
ENSOARG00000000749,hypothetical protein OsI_04556
ENSOARG00000000751,complement C3
ENSOARG00000000752,
ENSOARG00000000753,WD repeat domain 61
ENSOARG00000000755,
ENSOARG00000000760,pre-mRNA 3' end processing protein WDR33-like
ENSOARG00000000762,ras GTPase-activating protein 3
ENSOARG00000000764,S-phase kinase-associated protein 1
ENSOARG00000000765,LOW QUALITY PROTEIN: SCO-spondin
ENSOARG00000000767,LOW QUALITY PROTEIN: NKG2D ligand 1-like
ENSOARG00000000771,
ENSOARG00000000775,zinc finger MYND-type containing 19
ENSOARG00000000781,LOW QUALITY PROTEIN: SCO-spondin
ENSOARG00000000782,zinc finger CCHC-type and RNA binding motif containing 1
ENSOARG00000000785,LOW QUALITY PROTEIN: lck-interacting transmembrane adapter 1
ENSOARG00000000786,ankyrin repeat domain 63
ENSOARG00000000790,melanoma-associated antigen B2-like
ENSOARG00000000795,
ENSOARG00000000798,HIG1 hypoxia inducible domain family member 1A
ENSOARG00000000802,"POU domain, class 5, transcription factor 1"
ENSOARG00000000806,polymerase
ENSOARG00000000812,multidrug resistance-associated protein 4-like
ENSOARG00000000813,LOW QUALITY PROTEIN: tectonin beta-propeller repeat-containing protein 1
ENSOARG00000000815,keratin-associated protein 13-1-like
ENSOARG00000000816,GTPase IMAP family member 7
ENSOARG00000000819,GTPase IMAP family member 1-like
ENSOARG00000000822,60S ribosomal protein L36a
ENSOARG00000000824,HNRPDL protein
ENSOARG00000000825,cytochrome P450 2C9-like
ENSOARG00000000828,uncharacterized protein LOC101122586
ENSOARG00000000830,
ENSOARG00000000833,thyroid peroxidase-like
ENSOARG00000000835,purine nucleoside phosphorylase
ENSOARG00000000841,keratin-associated protein 13-1-like
ENSOARG00000000843,uncharacterized protein LOC105103541
ENSOARG00000000844,putative killer cell immunoglobulin-like receptor like protein KIR3DP1
ENSOARG00000000845,GSG1 like
ENSOARG00000000849,"Chain A, Crystal Structure Of Human Ferritin Ftl498instc Pathogenic M"
ENSOARG00000000854,LOW QUALITY PROTEIN: lymphocyte-specific protein 1-like
ENSOARG00000000856,cytochrome c-like
ENSOARG00000000857,immunoglobulin gamma-1 chain F7-299
ENSOARG00000000859,
ENSOARG00000000861,
ENSOARG00000000862,LOW QUALITY PROTEIN: myeloid-associated differentiation marker
ENSOARG00000000863,SCO-spondin precursor
ENSOARG00000000864,"RecName: Full=Cytochrome P450 11B1, mitochondrial; AltName: Full=CYPXIB1; AltName: Full=Cytochrome P450C11; AltName: Full=Steroid 11-beta-hydroxylase; Flags: Precursor"
ENSOARG00000000867,Olfactory receptor 52I2
ENSOARG00000000868,solute carrier family 22 member 10
ENSOARG00000000870,C2 calcium dependent domain containing 4A
ENSOARG00000000871,
ENSOARG00000000872,keratin-associated protein 13-1-like
ENSOARG00000000877,synaptotagmin-15
ENSOARG00000000879,C2 calcium dependent domain containing 4A
ENSOARG00000000880,"steroid 17-alpha-hydroxylase/17,20 lyase"
ENSOARG00000000882,C2 calcium dependent domain containing 4A
ENSOARG00000000885,histone H2B type 1-like
ENSOARG00000000886,C2 calcium dependent domain containing 4A
ENSOARG00000000887,ribosomal protein S6
ENSOARG00000000891,
ENSOARG00000000892,hypothetical protein EGM_05706
ENSOARG00000000895,guanylate-binding protein 7-like
ENSOARG00000000896,tripartite motif-containing protein 5-like
ENSOARG00000000901,
ENSOARG00000000904,TRIM5 alpha
ENSOARG00000000905,
ENSOARG00000000906,transcription factor SOX-21
ENSOARG00000000908,cytochrome P450 aromatase
ENSOARG00000000911,TPA: hCG2039694-like
ENSOARG00000000912,annexin A8
ENSOARG00000000913,ATP-dependent (S)-NAD(P)H-hydrate dehydratase-like
ENSOARG00000000914,MAF bZIP transcription factor A
ENSOARG00000000917,armadillo repeat gene deleted in velocardiofacial syndrome
ENSOARG00000000919,ferritin light chain
ENSOARG00000000922,
ENSOARG00000000923,EM4a
ENSOARG00000000924,RNA binding motif protein 7
ENSOARG00000000925,EP300-interacting inhibitor of differentiation 1
ENSOARG00000000929,LOW QUALITY PROTEIN: serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta
ENSOARG00000000937,LOW QUALITY PROTEIN: transcription elongation regulator 1-like
ENSOARG00000000941,ring finger protein 220
ENSOARG00000000949,60S ribosomal protein L21-like
ENSOARG00000000951,LOW QUALITY PROTEIN: EGF-like and EMI domain-containing protein 1
ENSOARG00000000953,"SH3 and multiple ankyrin repeat domains 2, isoform CRA_i"
ENSOARG00000000954,solute carrier family 22 member 10
ENSOARG00000000956,complement factor H-related protein 3-like
ENSOARG00000000959,"RNA-binding motif protein, X-linked 2-like"
ENSOARG00000000965,zinc finger protein 511
ENSOARG00000000967,
ENSOARG00000000969,uncharacterized protein C10orf95 homolog
ENSOARG00000000972,PI-PLC X domain-containing protein 1
ENSOARG00000000973,C-type lectin domain family 4 member G-like
ENSOARG00000000974,
ENSOARG00000000975,ribosomal protein S15a
ENSOARG00000000979,histone H2B type 1-B-like
ENSOARG00000000980,group XV phospholipase A2
ENSOARG00000000985,3'-phosphoadenosine 5'-phosphosulfate synthase 2
ENSOARG00000000987,LOW QUALITY PROTEIN: ret finger protein-like 4A
ENSOARG00000000988,epididymis-specific alpha-mannosidase
ENSOARG00000000997,polyamine-modulated factor 1-binding protein 1
ENSOARG00000001000,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1
ENSOARG00000001001,sperm associated antigen 5
ENSOARG00000001002,putative oncomodulin-2
ENSOARG00000001005,
ENSOARG00000001007,
ENSOARG00000001008,C-type natriuretic peptide precursor
ENSOARG00000001009,HAUS augmin-like complex subunit 3
ENSOARG00000001012,C-type natriuretic peptide precursor
ENSOARG00000001016,
ENSOARG00000001017,T-cell receptor alpha chain V region CTL-F3
ENSOARG00000001018,protein stum homolog
ENSOARG00000001021,multidrug resistance-associated protein 4-like
ENSOARG00000001023,anthrax toxin receptor-like
ENSOARG00000001024,cytochrome c-like
ENSOARG00000001025,toll interacting protein
ENSOARG00000001027,translocase of inner mitochondrial membrane 8 homolog A (yeast)
ENSOARG00000001029,hypothetical protein M91_00971
ENSOARG00000001031,
ENSOARG00000001041,mucin-5B
ENSOARG00000001043,glutathione S-transferase omega 1
ENSOARG00000001047,ATPase H+ transporting V0 subunit e2
ENSOARG00000001050,"Myosin light chain kinase, smooth muscle"
ENSOARG00000001052,LOW QUALITY PROTEIN: SH3 and multiple ankyrin repeat domains protein 2
ENSOARG00000001054,transient receptor potential cation channel subfamily M member 5
ENSOARG00000001056,disintegrin and metalloproteinase domain-containing protein 20-like
ENSOARG00000001059,creatine kinase B
ENSOARG00000001061,olfactory receptor 10H3-like
ENSOARG00000001062,
ENSOARG00000001065,TPA: TRD@ protein-like
ENSOARG00000001066,"CCZ1 homolog, vacuolar protein trafficking and biogenesis associated"
ENSOARG00000001067,multidrug resistance-associated protein 4-like
ENSOARG00000001071,T-cell receptor alpha chain V region HPB-MLT
ENSOARG00000001073,mucin-5B-like
ENSOARG00000001078,TNF receptor-associated factor 2-like
ENSOARG00000001079,RPS13
ENSOARG00000001080,Ig kappa chain V-III region PC 7210
ENSOARG00000001083,mucin-5B-like
ENSOARG00000001085,uncharacterized protein KIAA0195 homolog
ENSOARG00000001086,zinc finger protein 775
ENSOARG00000001088,T-cell receptor delta chain precursor - sheep (fragment)
ENSOARG00000001092,transient receptor potential cation channel subfamily M member 5
ENSOARG00000001096,
ENSOARG00000001097,translation machinery-associated protein 7
ENSOARG00000001100,envoplakin-like protein
ENSOARG00000001103,
ENSOARG00000001104,olfactory receptor 10H1-like
ENSOARG00000001105,ribosomal protein S15a
ENSOARG00000001114,multidrug resistance-associated protein 4-like
ENSOARG00000001116,anthrax toxin receptor-like
ENSOARG00000001119,D-tyrosyl-tRNA deacylase 1
ENSOARG00000001120,uncharacterized protein C9orf173 homolog
ENSOARG00000001121,myotubularin-related protein 5
ENSOARG00000001126,olfactory receptor 52Z1-like
ENSOARG00000001127,zinc finger protein 524
ENSOARG00000001129,LOW QUALITY PROTEIN: protocadherin-23
ENSOARG00000001131,GTPase IMAP family member 8
ENSOARG00000001134,transmembrane protein 229A
ENSOARG00000001135,acetylcholine receptor subunit delta
ENSOARG00000001137,uncharacterized protein LOC101114926
ENSOARG00000001138,probable E3 ubiquitin-protein ligase HERC6
ENSOARG00000001140,
ENSOARG00000001141,
ENSOARG00000001143,60S ribosomal protein L23-like
ENSOARG00000001144,VPS9 domain-containing protein 1-like
ENSOARG00000001145,anthrax toxin receptor-like
ENSOARG00000001147,F-box and WD repeat domain containing 5
ENSOARG00000001149,MLV-related proviral Env polyprotein-like
ENSOARG00000001150,serine/threonine-protein phosphatase 6 regulatory subunit 2-like
ENSOARG00000001153,glutamate metabotropic receptor 8
ENSOARG00000001156,multidrug resistance-associated protein 4-like
ENSOARG00000001157,TPA: heterogeneous nuclear ribonucleoprotein A2/B1-like
ENSOARG00000001162,metabotropic glutamate receptor 8-like
ENSOARG00000001163,multidrug resistance-associated protein 4-like
ENSOARG00000001165,"LOW QUALITY PROTEIN: BOLA class I histocompatibility antigen, alpha chain BL3-7-like"
ENSOARG00000001169,hypothetical protein M91_13651
ENSOARG00000001171,flt3-interacting zinc finger protein 1
ENSOARG00000001173,protein FAM26F-like
ENSOARG00000001174,"Chain B, Structural Basis Of Backwards Motion In Kinesin-14: Minus-end Directed Nkn664 In The Amppnp State"
ENSOARG00000001175,Retrovirus-related Pol polyprotein LINE-1
ENSOARG00000001176,olfactory receptor 10H3-like
ENSOARG00000001179,CMRF35-like molecule 4
ENSOARG00000001180,hypothetical protein EGM_02384
ENSOARG00000001181,"HLA class I histocompatibility antigen, Cw-4 alpha chain-like"
ENSOARG00000001183,
ENSOARG00000001186,antigen WC1.1 precursor
ENSOARG00000001189,zinc finger protein 665-like
ENSOARG00000001193,hyaluronidase PH-20-like
ENSOARG00000001195,adenylate cyclase type 10-like
ENSOARG00000001196,radial spoke head 10 homolog B
ENSOARG00000001197,LOW QUALITY PROTEIN: melanoma-associated antigen B18-like
ENSOARG00000001198,60S ribosomal protein L26
ENSOARG00000001201,heparan-sulfate 6-O-sulfotransferase 1
ENSOARG00000001203,60S ribosomal protein L35-like
ENSOARG00000001204,
ENSOARG00000001205,Melanoma-associated antigen B1
ENSOARG00000001206,Bet1 golgi vesicular membrane trafficking protein
ENSOARG00000001209,LOW QUALITY PROTEIN: uncharacterized protein LOC102171530
ENSOARG00000001214,
ENSOARG00000001217,prostaglandin omega-hydroxylase CYP4F21
ENSOARG00000001221,multidrug resistance-associated protein 4-like
ENSOARG00000001222,uncharacterized protein LOC105604851
ENSOARG00000001224,leukocyte immunoglobulin-like receptor subfamily A member 5
ENSOARG00000001229,uncharacterized protein LOC105604623
ENSOARG00000001230,
ENSOARG00000001231,
ENSOARG00000001232,multidrug resistance-associated protein 4-like
ENSOARG00000001233,hypothetical protein M91_15193
ENSOARG00000001234,"CASK interacting protein 1, isoform CRA_b"
ENSOARG00000001237,plakophilin-1-like
ENSOARG00000001239,cilia- and flagella-associated protein 74
ENSOARG00000001242,
ENSOARG00000001252,
ENSOARG00000001254,LOW QUALITY PROTEIN: tenascin-X
ENSOARG00000001255,hyaluronidase-4-like
ENSOARG00000001257,melanoma-associated antigen B1-like
ENSOARG00000001258,
ENSOARG00000001262,bcl-2-like protein 1
ENSOARG00000001263,metastasis-associated protein MTA1
ENSOARG00000001264,
ENSOARG00000001267,peptidyl-prolyl cis-trans isomerase FKBP2-like
ENSOARG00000001270,granzyme H
ENSOARG00000001275,cysteine-rich protein 2
ENSOARG00000001279,galectin-9B-like
ENSOARG00000001282,multidrug resistance-associated protein 4-like
ENSOARG00000001283,zinc finger protein 845-like
ENSOARG00000001285,cathelicidin-7
